================ Training Loss (Sat Aug  1 17:29:51 2026) ================
[Rank 0] (epoch: 4, iters: 17856, time: 0.001, data: 0.001) , D_A: 0.293, G_A: 0.986, cycle_A: 0.285, D_B: 0.200, G_B: 0.894, cycle_B: 0.213, gp: 0.188

[Rank 0] (epoch: 4, iters: 19456, time: 0.001, data: 0.001) , D_A: 0.320, G_A: 0.759, cycle_A: 0.287, D_B: 0.203, G_B: 0.934, cycle_B: 0.241, gp: 0.192

[Rank 0] (epoch: 4, iters: 21056, time: 0.001, data: 0.001) , D_A: 0.460, G_A: 1.400, cycle_A: 0.293, D_B: 0.221, G_B: 1.091, cycle_B: 0.225, gp: 0.202

[Rank 0] (epoch: 4, iters: 22656, time: 0.001, data: 0.001) , D_A: 0.421, G_A: 0.561, cycle_A: 0.245, D_B: 0.216, G_B: 0.958, cycle_B: 0.271, gp: 0.209

[Rank 0] (epoch: 4, iters: 24256, time: 0.001, data: 0.001) , D_A: 0.301, G_A: 1.235, cycle_A: 0.228, D_B: 0.574, G_B: 0.695, cycle_B: 0.235, gp: 0.409

[Rank 0] (epoch: 4, iters: 25856, time: 0.001, data: 0.001) , D_A: 0.320, G_A: 0.882, cycle_A: 0.271, D_B: 0.156, G_B: 0.959, cycle_B: 0.271, gp: 0.148

[Rank 0] (epoch: 4, iters: 27456, time: 0.001, data: 0.001) , D_A: 0.399, G_A: 0.902, cycle_A: 0.288, D_B: 0.243, G_B: 0.979, cycle_B: 0.248, gp: 0.234

[Rank 0] (epoch: 4, iters: 29056, time: 0.001, data: 0.001) , D_A: 0.281, G_A: 0.950, cycle_A: 0.225, D_B: 0.165, G_B: 0.958, cycle_B: 0.247, gp: 0.158

[Rank 0] (epoch: 4, iters: 30656, time: 0.001, data: 0.001) , D_A: 0.191, G_A: 1.063, cycle_A: 0.240, D_B: 0.190, G_B: 0.969, cycle_B: 0.215, gp: 0.181

[Rank 0] (epoch: 4, iters: 32256, time: 0.001, data: 0.001) , D_A: 0.298, G_A: 0.939, cycle_A: 0.253, D_B: 0.310, G_B: 1.139, cycle_B: 0.220, gp: 0.284

[Rank 0] (epoch: 4, iters: 33856, time: 0.001, data: 0.001) , D_A: 0.303, G_A: 0.798, cycle_A: 0.246, D_B: 0.208, G_B: 1.006, cycle_B: 0.222, gp: 0.197

[Rank 0] (epoch: 4, iters: 35456, time: 0.001, data: 0.001) , D_A: 0.294, G_A: 0.969, cycle_A: 0.258, D_B: 0.205, G_B: 1.018, cycle_B: 0.234, gp: 0.198

[Rank 0] (epoch: 4, iters: 37056, time: 0.001, data: 0.001) , D_A: 0.242, G_A: 0.968, cycle_A: 0.222, D_B: 0.275, G_B: 1.008, cycle_B: 0.227, gp: 0.268

[Rank 0] (epoch: 4, iters: 38656, time: 0.001, data: 0.001) , D_A: 0.354, G_A: 1.025, cycle_A: 0.257, D_B: 0.204, G_B: 1.024, cycle_B: 0.206, gp: 0.195

[Rank 0] (epoch: 4, iters: 40256, time: 0.001, data: 0.001) , D_A: 0.301, G_A: 0.719, cycle_A: 0.239, D_B: 0.118, G_B: 1.050, cycle_B: 0.207, gp: 0.108

[Rank 0] (epoch: 5, iters: 1408, time: 0.001, data: 0.001) , D_A: 0.281, G_A: 1.022, cycle_A: 0.263, D_B: 0.224, G_B: 0.995, cycle_B: 0.204, gp: 0.215

[Rank 0] (epoch: 5, iters: 3008, time: 0.001, data: 0.001) , D_A: 0.316, G_A: 0.763, cycle_A: 0.226, D_B: 0.270, G_B: 0.940, cycle_B: 0.204, gp: 0.260

[Rank 0] (epoch: 5, iters: 4608, time: 0.001, data: 0.001) , D_A: 1.265, G_A: 0.303, cycle_A: 0.258, D_B: 0.204, G_B: 0.963, cycle_B: 0.232, gp: 0.196

[Rank 0] (epoch: 5, iters: 6208, time: 0.001, data: 0.001) , D_A: 0.288, G_A: 0.777, cycle_A: 0.249, D_B: 0.206, G_B: 0.975, cycle_B: 0.250, gp: 0.200

[Rank 0] (epoch: 5, iters: 7808, time: 0.001, data: 0.001) , D_A: 0.372, G_A: 1.178, cycle_A: 0.237, D_B: 0.203, G_B: 1.026, cycle_B: 0.260, gp: 0.195

[Rank 0] (epoch: 5, iters: 9408, time: 0.001, data: 0.001) , D_A: 0.580, G_A: 0.344, cycle_A: 0.255, D_B: 0.238, G_B: 0.780, cycle_B: 0.239, gp: 0.225

[Rank 0] (epoch: 5, iters: 11008, time: 0.001, data: 0.001) , D_A: 0.485, G_A: 1.396, cycle_A: 0.254, D_B: 0.249, G_B: 0.983, cycle_B: 0.268, gp: 0.242

[Rank 0] (epoch: 5, iters: 12608, time: 0.001, data: 0.001) , D_A: 0.221, G_A: 1.014, cycle_A: 0.229, D_B: 0.258, G_B: 0.868, cycle_B: 0.216, gp: 0.248

[Rank 0] (epoch: 5, iters: 14208, time: 0.001, data: 0.001) , D_A: 0.355, G_A: 1.355, cycle_A: 0.242, D_B: 0.305, G_B: 1.018, cycle_B: 0.221, gp: 0.296

[Rank 0] (epoch: 5, iters: 15808, time: 0.001, data: 0.001) , D_A: 0.287, G_A: 0.765, cycle_A: 0.220, D_B: 0.150, G_B: 0.953, cycle_B: 0.222, gp: 0.145

[Rank 0] (epoch: 5, iters: 17408, time: 0.001, data: 0.001) , D_A: 0.249, G_A: 1.161, cycle_A: 0.232, D_B: 0.187, G_B: 0.970, cycle_B: 0.217, gp: 0.181

[Rank 0] (epoch: 5, iters: 19008, time: 0.001, data: 0.001) , D_A: 0.342, G_A: 0.976, cycle_A: 0.239, D_B: 0.167, G_B: 0.986, cycle_B: 0.231, gp: 0.162

[Rank 0] (epoch: 5, iters: 20608, time: 0.001, data: 0.001) , D_A: 0.200, G_A: 1.030, cycle_A: 0.230, D_B: 0.219, G_B: 1.012, cycle_B: 0.221, gp: 0.213

[Rank 0] (epoch: 5, iters: 22208, time: 0.001, data: 0.001) , D_A: 0.419, G_A: 1.007, cycle_A: 0.245, D_B: 0.221, G_B: 0.974, cycle_B: 0.216, gp: 0.213

[Rank 0] (epoch: 5, iters: 23808, time: 0.001, data: 0.001) , D_A: 0.311, G_A: 1.023, cycle_A: 0.256, D_B: 0.197, G_B: 1.011, cycle_B: 0.207, gp: 0.190

[Rank 0] (epoch: 5, iters: 25408, time: 0.001, data: 0.001) , D_A: 0.254, G_A: 0.940, cycle_A: 0.245, D_B: 0.245, G_B: 0.944, cycle_B: 0.226, gp: 0.239

[Rank 0] (epoch: 5, iters: 27008, time: 0.001, data: 0.001) , D_A: 0.265, G_A: 0.939, cycle_A: 0.234, D_B: 0.299, G_B: 0.938, cycle_B: 0.223, gp: 0.292

[Rank 0] (epoch: 5, iters: 28608, time: 0.001, data: 0.001) , D_A: 0.333, G_A: 1.114, cycle_A: 0.240, D_B: 0.198, G_B: 0.989, cycle_B: 0.217, gp: 0.192

[Rank 0] (epoch: 5, iters: 30208, time: 0.001, data: 0.001) , D_A: 0.204, G_A: 0.869, cycle_A: 0.247, D_B: 0.205, G_B: 0.972, cycle_B: 0.222, gp: 0.197

[Rank 0] (epoch: 5, iters: 31808, time: 0.001, data: 0.001) , D_A: 0.275, G_A: 1.082, cycle_A: 0.233, D_B: 0.293, G_B: 1.066, cycle_B: 0.216, gp: 0.282

[Rank 0] (epoch: 5, iters: 33408, time: 0.001, data: 0.001) , D_A: 0.238, G_A: 0.933, cycle_A: 0.229, D_B: 0.171, G_B: 1.058, cycle_B: 0.206, gp: 0.164

[Rank 0] (epoch: 5, iters: 35008, time: 0.001, data: 0.001) , D_A: 0.277, G_A: 1.124, cycle_A: 0.269, D_B: 0.201, G_B: 0.998, cycle_B: 0.207, gp: 0.196

[Rank 0] (epoch: 5, iters: 36608, time: 0.001, data: 0.001) , D_A: 0.371, G_A: 0.794, cycle_A: 0.248, D_B: 0.252, G_B: 0.988, cycle_B: 0.234, gp: 0.246

[Rank 0] (epoch: 5, iters: 38208, time: 0.001, data: 0.001) , D_A: 0.277, G_A: 1.264, cycle_A: 0.236, D_B: 0.228, G_B: 0.967, cycle_B: 0.259, gp: 0.223

[Rank 0] (epoch: 5, iters: 39808, time: 0.001, data: 0.001) , D_A: 0.381, G_A: 1.256, cycle_A: 0.234, D_B: 0.172, G_B: 1.033, cycle_B: 0.293, gp: 0.167

[Rank 0] (epoch: 6, iters: 960, time: 0.001, data: 0.001) , D_A: 0.308, G_A: 1.067, cycle_A: 0.224, D_B: 0.232, G_B: 0.981, cycle_B: 0.243, gp: 0.225

[Rank 0] (epoch: 6, iters: 2560, time: 0.001, data: 0.000) , D_A: 0.242, G_A: 1.036, cycle_A: 0.269, D_B: 0.237, G_B: 0.946, cycle_B: 0.235, gp: 0.231

[Rank 0] (epoch: 6, iters: 4160, time: 0.001, data: 0.001) , D_A: 0.306, G_A: 1.079, cycle_A: 0.263, D_B: 0.210, G_B: 0.989, cycle_B: 0.230, gp: 0.204

